,similarity,sentence1,sentence2
2091,entailment,A person is surfing on a large wave.,A person is surfing.
2092,contradiction,Ample dark-skinned man looks back at camera from behind buffet.,A thin woman glares at you over her salad.
2093,neutral,Ample dark-skinned man looks back at camera from behind buffet.,A man looks from behind an Indian buffet.
2094,entailment,Ample dark-skinned man looks back at camera from behind buffet.,A man looks from behind a buffet.
2095,entailment,A black dog runs along the green grass carrying a toy in its mouth.,A black dog runs through the grass carrying its toy.
2096,neutral,A black dog runs along the green grass carrying a toy in its mouth.,The dog is playing fetch.
2097,contradiction,A black dog runs along the green grass carrying a toy in its mouth.,A white dog is sitting under a tree.
2098,contradiction,Man relaxing on a bench at the bus stop.,The man stood next to the bench.
2099,neutral,Man relaxing on a bench at the bus stop.,The man waited for the bus relaxed on the bench.
2100,entailment,Man relaxing on a bench at the bus stop.,The man relaxes on a bench.
2101,neutral,"An outside wedding ceremony for an asian couple under an umbrella, shielded from the blaring sun.",Asian people getting married by the beach.
2102,entailment,"An outside wedding ceremony for an asian couple under an umbrella, shielded from the blaring sun.",There are asian people outside.
2103,contradiction,"An outside wedding ceremony for an asian couple under an umbrella, shielded from the blaring sun.",Two old ladies reading the newspaper.
2104,entailment,A man in a yellow excavator on a construction site.,the guy is on the excavator
2105,contradiction,A man in a yellow excavator on a construction site.,the orange is being peeled
2106,neutral,A man in a yellow excavator on a construction site.,this guy is on the excavator for his job
2107,contradiction,Four people dine at a restaurant.,the people are at the motel sleeping
2108,entailment,Four people dine at a restaurant.,four people dining
2109,neutral,Four people dine at a restaurant.,the people are coworkers
2110,entailment,"A young child with dark shoulder length hair, in a yellow shirt and pink pants, is walking eating cheerios out of a ziplock bag.",a child eats cheerios
2111,neutral,"A young child with dark shoulder length hair, in a yellow shirt and pink pants, is walking eating cheerios out of a ziplock bag.",a child wishes he had milk
2112,contradiction,"A young child with dark shoulder length hair, in a yellow shirt and pink pants, is walking eating cheerios out of a ziplock bag.",a child sits in a chair
2113,entailment,A group of people are gathered in the woods around trees and a ladder.,People gathered in woods.
2114,contradiction,A group of people are gathered in the woods around trees and a ladder.,Miners work hard at gathering coal.
2115,neutral,A group of people are gathered in the woods around trees and a ladder.,People picking apples.
2116,contradiction,A volleyball player hitting a ball on the beach.,A soccer player is kicking a ball.
2117,entailment,A volleyball player hitting a ball on the beach.,A volleyball player is hitting a ball.
2118,neutral,A volleyball player hitting a ball on the beach.,A volleyball player spikes a ball on the beach.
2119,contradiction,A man in hat and apron flipping over his pancake by tossing it in the air back to the pan.,The male is surfing on his day off.
2120,neutral,A man in hat and apron flipping over his pancake by tossing it in the air back to the pan.,The man is cooking all wheat pancakes.
2121,entailment,A man in hat and apron flipping over his pancake by tossing it in the air back to the pan.,The male is cooking food.
2122,contradiction,A young child is enjoying the water and rock scenery with their dog.,The teenage boy is taking his cat for a walk beside the water.
2123,entailment,A young child is enjoying the water and rock scenery with their dog.,The child and dog are enjoying some fresh air.
2124,neutral,A young child is enjoying the water and rock scenery with their dog.,The child and dog are hoping for some ice cream later.
2125,entailment,An Asian teen is playing a game.,The teen is Asian
2126,neutral,An Asian teen is playing a game.,The game is Final Fantasy
2127,neutral,An Asian teen is playing a game.,The teen is happy
2128,entailment,A man standing up in a rowboat with a bird perched on the boat.,A rowboat is out on the water with a man standing in it.
2129,contradiction,A man standing up in a rowboat with a bird perched on the boat.,The man is pedaling a bicycle along the pier.
2130,neutral,A man standing up in a rowboat with a bird perched on the boat.,The man is a professional fisherman.
2131,entailment,Two dogs run around inside a fence.,Two dogs are inside a fence.
2132,contradiction,Two dogs run around inside a fence.,Two dogs sleep inside a fence.
2133,neutral,Two dogs run around inside a fence.,Two puppies run around inside a fence.
2134,entailment,A man is cooking pies in the oven.,The oven has pies in it.
2135,contradiction,A man is cooking pies in the oven.,The oven has turkeys in it.
2136,neutral,A man is cooking pies in the oven.,The man cooking has oven mits on.
2137,contradiction,"A woman with blond-hair and blue boots walks among a crowd of other pedestrians on a city street, looking up at something.",A woman is sitting in a cafe eating lunch.
2138,entailment,"A woman with blond-hair and blue boots walks among a crowd of other pedestrians on a city street, looking up at something.",A woman is walking outside.
2139,neutral,"A woman with blond-hair and blue boots walks among a crowd of other pedestrians on a city street, looking up at something.",A woman is watching a plane fly overhead.
2140,neutral,"A golden-colored dog, with his eyes alert, holds a brightly colored tennis ball in his mouth.",The dog is fast
2141,entailment,"A golden-colored dog, with his eyes alert, holds a brightly colored tennis ball in his mouth.",The dog is light colored
2142,contradiction,"A golden-colored dog, with his eyes alert, holds a brightly colored tennis ball in his mouth.",the Dog is black
2143,contradiction,Two bikers a riding along a street in a marathon as the passersby clap for them.,A biker forgets to sign up for the race.
2144,neutral,Two bikers a riding along a street in a marathon as the passersby clap for them.,People cheer on the bikers.
2145,neutral,Two bikers a riding along a street in a marathon as the passersby clap for them.,Two bikers compete in a marathon for a charity.
2146,neutral,A baby crying about getting their diaper changed.,the baby is tired
2147,entailment,A baby crying about getting their diaper changed.,a baby cries while getting their diaper changed
2148,contradiction,A baby crying about getting their diaper changed.,the baby is eating
2149,neutral,A young girl in a cute hat and pink sweater pushes a toy lawn mower in front of a bicycle.,The girl has a black hat on.
2150,entailment,A young girl in a cute hat and pink sweater pushes a toy lawn mower in front of a bicycle.,The girl has a hat on.
2151,neutral,A young girl in a cute hat and pink sweater pushes a toy lawn mower in front of a bicycle.,The girl just got the hat for her birthday.
2152,contradiction,a man in a red shirt looking at a woman with red-hair,The person staring has no vision.
2153,neutral,a man in a red shirt looking at a woman with red-hair,A person is leering at another.
2154,neutral,a man in a red shirt looking at a woman with red-hair,A person is staring at a girl he think he recognizes.
2155,neutral,A woman is tugging on a white sheet and laughing,The woman is changing the sheets on her bed.
2156,contradiction,A woman is tugging on a white sheet and laughing,The woman is trying on a new dress.
2157,entailment,A woman is tugging on a white sheet and laughing,The person is amused.
2158,neutral,The young girl cools off by sliding on the water slide.,The girl is at a water park.
2159,entailment,The young girl cools off by sliding on the water slide.,The girl goes down a water slide.
2160,contradiction,The young girl cools off by sliding on the water slide.,No one is sliding down a water slide.
2161,contradiction,"Older Asian man, wearing orange robes in urban area.",The man is in a baseball uniform.
2162,entailment,"Older Asian man, wearing orange robes in urban area.",The man is in a city.
2163,neutral,"Older Asian man, wearing orange robes in urban area.",The old man is a monk.
2164,entailment,People shopping at the marketplace.,People are shopping.
2165,neutral,People shopping at the marketplace.,People are shopping for groceries.
2166,contradiction,People shopping at the marketplace.,A woman is swimming in the ocean.
2167,entailment,Two people are sitting in a station.,A couple of people are inside and not standing.
2168,neutral,Two people are sitting in a station.,A married couple is waiting for a train.
2169,contradiction,Two people are sitting in a station.,A jazz trio is giving a performance in the White House.
2170,entailment,Two boys are swimming underwater in a pool and a girl is swimming in the background.,There are some kids in this picture
2171,neutral,Two boys are swimming underwater in a pool and a girl is swimming in the background.,They are diving for coins on the bottom of the pool
2172,contradiction,Two boys are swimming underwater in a pool and a girl is swimming in the background.,They are playing in a sand box
2173,entailment,these two ladies are reading a sign while shading themselves from the sun with their umbrellas.,Two ladies out in the daytime
2174,neutral,these two ladies are reading a sign while shading themselves from the sun with their umbrellas.,Two women read a sign for directions
2175,contradiction,these two ladies are reading a sign while shading themselves from the sun with their umbrellas.,Two women use umbrellas keep themselves dry from the rain
2176,neutral,"Two Asian women wear sandals, long silk robes and hold umbrellas.",Women in Japan take shelter from the rain
2177,contradiction,"Two Asian women wear sandals, long silk robes and hold umbrellas.",two men bask in the sunlight
2178,neutral,"Two Asian women wear sandals, long silk robes and hold umbrellas.",Two women stand in the rain
2179,contradiction,"A woman, viewed through a window, sits at a restaurant table and puts down a red shopping bag.",A woman trying on a pair of black knee high stiletto boots.
2180,neutral,"A woman, viewed through a window, sits at a restaurant table and puts down a red shopping bag.",A woman having lunch after spending the day shopping.
2181,entailment,"A woman, viewed through a window, sits at a restaurant table and puts down a red shopping bag.",A woman in a restaurant.
2182,neutral,There is not an image here.,There is only a single color displayed instead of an image.
2183,contradiction,There is not an image here.,There is an image here.
2184,entailment,There is not an image here.,No image can be seen.
2185,neutral,A man is working on a computer while two people sit and talk in front.,A man works on a computer while two people sit and chat about business.
2186,contradiction,A man is working on a computer while two people sit and talk in front.,A bear is working on a computer while two people sit and gawk.
2187,neutral,A man is working on a computer while two people sit and talk in front.,The two people sat and chatted for a bit while the IT guy removed the virus.
2188,neutral,A bundled boy sleds down the slope.,A boy is sledding on his red sleigh
2189,entailment,A bundled boy sleds down the slope.,A boy is sledding
2190,contradiction,A bundled boy sleds down the slope.,A boy is surfing
2191,entailment,Two men in uniforms are in soccer field behind a line waiting to play.,two men waiting to play soccer
2192,contradiction,Two men in uniforms are in soccer field behind a line waiting to play.,two men waiting for the bus
2193,neutral,Two men in uniforms are in soccer field behind a line waiting to play.,two men waiting to play soccer in May
2194,contradiction,A woman playing with her cats while taking pictures.,A woman is playing with her dolls.
2195,entailment,A woman playing with her cats while taking pictures.,A woman is spending time with her cats.
2196,neutral,A woman playing with her cats while taking pictures.,A woman is encouraging two cats to interact with one another.
2197,contradiction,"A young woman dressed as a princess is waving to others from inside a ride where the carriage is a large replica of the Disney character, Dumbo.",The young woman is sleeping in bed.
2198,entailment,"A young woman dressed as a princess is waving to others from inside a ride where the carriage is a large replica of the Disney character, Dumbo.","A female with clothes on is on a moving vehicle, waving her hands left to right in the air."
2199,neutral,"A young woman dressed as a princess is waving to others from inside a ride where the carriage is a large replica of the Disney character, Dumbo.",A young woman dressed as a princess is waving to the crowd in the Macy's parade.
2200,contradiction,A young woman holding a newborn in her arms while still wearing her hospital bracelet laying on a hospital bed.,A young woman is holding a gun.
2201,neutral,A young woman holding a newborn in her arms while still wearing her hospital bracelet laying on a hospital bed.,A young woman is happily holding a newborn.
2202,entailment,A young woman holding a newborn in her arms while still wearing her hospital bracelet laying on a hospital bed.,A young woman is holding a newborn.
2203,neutral,Three young men are watching a tennis match on a large screen outdoors.,"Three young men watching a tennis match on a screen outdoors, because their brother is playing."
2204,entailment,Three young men are watching a tennis match on a large screen outdoors.,Young men watch a tennis match on a screen outdoors.
2205,contradiction,Three young men are watching a tennis match on a large screen outdoors.,Three men enjoy a football game on a plasma indoors.
2206,entailment,A large amount of persons flying kites in a park.,a lot of people are flying kites.
2207,contradiction,A large amount of persons flying kites in a park.,one person is flying his kite.
2208,neutral,A large amount of persons flying kites in a park.,a lot of kids are dlying kites on easter.
2209,contradiction,A maroon car with many decals and signs topped with a gray bundle tied to the roof near the drivers door is a man leaning on the car.,The car is green.
2210,contradiction,A maroon car with many decals and signs topped with a gray bundle tied to the roof near the drivers door is a man leaning on the car.,The bundle is black.
2211,neutral,A maroon car with many decals and signs topped with a gray bundle tied to the roof near the drivers door is a man leaning on the car.,The roof is high in the air.
2212,contradiction,A man is taking pictures hanging outside of a red rally car.,The man is alone in the bathroom.
2213,neutral,A man is taking pictures hanging outside of a red rally car.,The man is a race car driver.
2214,entailment,A man is taking pictures hanging outside of a red rally car.,The man is near the car.
2215,contradiction,"A man in a yellow outfit, fixing something on the corner of a house.",The man is breaking into the house.
2216,neutral,"A man in a yellow outfit, fixing something on the corner of a house.",The man in the outfit is a repairman.
2217,entailment,"A man in a yellow outfit, fixing something on the corner of a house.",A man wearing a yellow outfit was repairing something on the corner of the house.
2218,contradiction,A happy little girl rides on the merry-go-round.,the girl was completely lost
2219,neutral,A happy little girl rides on the merry-go-round.,the girl rode the horse on the ride
2220,entailment,A happy little girl rides on the merry-go-round.,a little girl rides on the merry-go-round
2221,entailment,The woman in the blue skirt is sleeping on a cardboard box under a picture of Mary and baby Jesus.,A homeless woman sleeps under the protective gaze of the Blessed Mother.
2222,entailment,The woman in the blue skirt is sleeping on a cardboard box under a picture of Mary and baby Jesus.,A person sleeping on a cardboard box below a picture of religious icons.
2223,contradiction,The woman in the blue skirt is sleeping on a cardboard box under a picture of Mary and baby Jesus.,A homeless man suffering from hypothermia in the ruins of a burned building.
2224,contradiction,a man holding a bottle of wine with a box on his head,The man is singing in front of a live audience.
2225,neutral,a man holding a bottle of wine with a box on his head,The man is trying his best not to drop the bottle of wine.
2226,neutral,a man holding a bottle of wine with a box on his head,The man is hiding his face with the box on his head.
2227,contradiction,There are three colorful boats with a person sitting in the middle one.,There is a dance party on the boat.
2228,neutral,There are three colorful boats with a person sitting in the middle one.,This person is early for the boating race.
2229,neutral,There are three colorful boats with a person sitting in the middle one.,People like to go boating.
2230,contradiction,Two men with fake mustaches are dressed like archaeologist explorers.,Clean shaven youths are wearing formal prom attire.
2231,entailment,Two men with fake mustaches are dressed like archaeologist explorers.,People are wearing disguises.
2232,neutral,Two men with fake mustaches are dressed like archaeologist explorers.,Two actors dress to play a part in a neighborhood theater play.
2233,entailment,A blond woman is holding 2 golf balls while reaching down into a golf hole.,A blonde female is reaching into a golf hole while holding two golf balls.
2234,neutral,A blond woman is holding 2 golf balls while reaching down into a golf hole.,The blonde woman is playing golf.
2235,contradiction,A blond woman is holding 2 golf balls while reaching down into a golf hole.,THe blond woman is sitting down.
2236,neutral,Two horse riders and three walkers are going down a dusty path.,Five people in the rain on a path
2237,contradiction,Two horse riders and three walkers are going down a dusty path.,Five people are seated
2238,entailment,Two horse riders and three walkers are going down a dusty path.,Five people on a path
2239,neutral,"A group of people dressed as a wizard, queen, and possibly a lobster smiling and looking at the camera.",people are dressed for halloween
2240,contradiction,"A group of people dressed as a wizard, queen, and possibly a lobster smiling and looking at the camera.",a man in a suit sits alone
2241,entailment,"A group of people dressed as a wizard, queen, and possibly a lobster smiling and looking at the camera.",people are dressed in costume
2242,neutral,"In autumn, a man holding a box approaches a red truck in a parking lot.",The man is delivering the box to the old lady in the parking lot.
2243,neutral,"In autumn, a man holding a box approaches a red truck in a parking lot.",The man is carrying the box to his car.
2244,entailment,"In autumn, a man holding a box approaches a red truck in a parking lot.","On a fall day, a man walks toward a truck holding a box."
2245,contradiction,Two dogs shaking themselves dry on the sand.,Dogs swim in the ocean.
2246,neutral,Two dogs shaking themselves dry on the sand.,Two brown dogs shake themselves dry at the beach.
2247,entailment,Two dogs shaking themselves dry on the sand.,Two dogs shake off water to get dry.
2248,neutral,The skier is doing a flip through some trees,The skier is winning a competition.
2249,contradiction,The skier is doing a flip through some trees,The man is water skiing.
2250,entailment,The skier is doing a flip through some trees,A skier is doing tricks.
2251,entailment,A man reading the paper at a cafe.,A man reading the paper while drinking cafe.
2252,contradiction,A man reading the paper at a cafe.,A man playing ice hockey.
2253,entailment,A man reading the paper at a cafe.,A man starring at a piece of paper.
2254,contradiction,A young indian boy sitting down thinking about his future.,A man teaches his daughter to ride a horse.
2255,neutral,A young indian boy sitting down thinking about his future.,A boy considers college.
2256,entailment,A young indian boy sitting down thinking about his future.,A boy thinks.
2257,neutral,A police officer standing on a train.,A cop is standing on a train on his way to work..
2258,entailment,A police officer standing on a train.,A man is standing on the train.
2259,neutral,A police officer standing on a train.,A cop is handcuffing someone.
2260,contradiction,Snowboarder sails in the air.,A young snowboarder sips hot chocolate in the cabin.
2261,neutral,Snowboarder sails in the air.,A snowboarder jumps through the air and does tricks.
2262,entailment,Snowboarder sails in the air.,A snowboarder is out snowboarding.
2263,neutral,A brown dog with a blue muzzle is running on green grass.,A mean dog is wearing a muzzle to keep it from attacking cats.
2264,contradiction,A brown dog with a blue muzzle is running on green grass.,A dog is wearing a green muzzle on blue grass.
2265,entailment,A brown dog with a blue muzzle is running on green grass.,A brown dog is wearing a muzzle.
2266,neutral,A woman closes her eyes as she plays her cello.,The woman is performing for an audience.
2267,contradiction,A woman closes her eyes as she plays her cello.,The woman has her eyes open.
2268,entailment,A woman closes her eyes as she plays her cello.,A woman is making music.
2269,entailment,"A man wearing black pants, a black shirt, and an orange hat is using a nail gun to attach tar paper to a roof.",The man is using his nail gun to attach paper tar to his roof.
2270,contradiction,"A man wearing black pants, a black shirt, and an orange hat is using a nail gun to attach tar paper to a roof.",The man on a merry go round.
2271,neutral,"A man wearing black pants, a black shirt, and an orange hat is using a nail gun to attach tar paper to a roof.",The building he is on is colored blue.
2272,contradiction,A male construction worker hammers a nail.,A construction worker is eating a sandwich during his lunch break.
2273,neutral,A male construction worker hammers a nail.,A construction worker drives the nail into the kitchen wall.
2274,entailment,A male construction worker hammers a nail.,A construction worker drives into a nail.
2275,contradiction,Water polo swimmers competing for a loose ball.,A group of basketball players swimming together.
2276,entailment,Water polo swimmers competing for a loose ball.,A group of water polo swimmers having a water polo match.
2277,entailment,Water polo swimmers competing for a loose ball.,A group of water polo swimmers swimming together in the pool.
2278,entailment,A dark-haired drummer is playing his set with enthusiasm.,The drummer is performing.
2279,neutral,A dark-haired drummer is playing his set with enthusiasm.,The drummer is playing his set for an audience at an event.
2280,contradiction,A dark-haired drummer is playing his set with enthusiasm.,The drummer is playing poker.
2281,neutral,A snowboarder leaps through the air against a dark background.,A man is wearing a a heavy snow coat.
2282,contradiction,A snowboarder leaps through the air against a dark background.,A man is eating icecream.
2283,neutral,A snowboarder leaps through the air against a dark background.,a man is outside snowboarding down a hill.
2284,contradiction,A man in a business suit crosses the street.,A man is wearing a white robe around his house.
2285,neutral,A man in a business suit crosses the street.,A man is walking to a job interview.
2286,-,A man in a business suit crosses the street.,A guy is outside walking.
2287,entailment,A young man dressed in black dress clothes lies down with his head resting in the lap of an older man in plain clothes.,An older and younger man are together.
2288,contradiction,A young man dressed in black dress clothes lies down with his head resting in the lap of an older man in plain clothes.,Two men sit on a bench with their backs together.
2289,neutral,A young man dressed in black dress clothes lies down with his head resting in the lap of an older man in plain clothes.,One man is dressed up for a night out while the other is not.
2290,entailment,An Asian woman preparing vegetables for the market.,A woman preparing vegetables.
2291,neutral,An Asian woman preparing vegetables for the market.,A woman preparing vegetables for stir-fry.
2292,contradiction,An Asian woman preparing vegetables for the market.,A woman at home.
2293,entailment,Two people look at two red motorcycles in a place where there are religious murals on the wall.,The two people are looking at motorcycles.
2294,contradiction,Two people look at two red motorcycles in a place where there are religious murals on the wall.,The two people are looking at cars.
2295,neutral,Two people look at two red motorcycles in a place where there are religious murals on the wall.,The two people looking at motorcycles are planning to buy one.
2296,neutral,"A team in yellow, red, and blue jerseys sit next to a road and watch a tiger mascot.",Students watch their school's mascot.
2297,contradiction,"A team in yellow, red, and blue jerseys sit next to a road and watch a tiger mascot.",The tiger mascot is all alone.
2298,entailment,"A team in yellow, red, and blue jerseys sit next to a road and watch a tiger mascot.",People watch a tiger mascot.
2299,entailment,the front side of a food vendor in a park.,A food vendor is in the park.
2300,contradiction,the front side of a food vendor in a park.,The park is empty.
2301,neutral,the front side of a food vendor in a park.,The vendor is selling hot dogs.
2302,contradiction,"A woman wearing a scarf, hat, and coat, holding a shopping bag is looking at her phone while standing in front of a store.",The woman is inside the store browsing.
2303,entailment,"A woman wearing a scarf, hat, and coat, holding a shopping bag is looking at her phone while standing in front of a store.","A woman wearing a scarf, hat, and coat, holding a shopping bag is outside of the store."
2304,neutral,"A woman wearing a scarf, hat, and coat, holding a shopping bag is looking at her phone while standing in front of a store.",The woman is texting her boyfriend.
2305,neutral,The man is doing stunts with his bicycle.,The crowd is astonished.
2306,contradiction,The man is doing stunts with his bicycle.,The man is skating backwards for the crowd.
2307,neutral,The man is doing stunts with his bicycle.,The man is showing off.
2308,contradiction,A girl in a flower dress is running on sand.,The girl is wearing a green striped dress.
2309,neutral,A girl in a flower dress is running on sand.,The girl is racing her sister.
2310,entailment,A girl in a flower dress is running on sand.,The girl is running.
2311,contradiction,A soccer player wearing white shorts and an orange and green shirt holds the ball while being guarded by another soccer player in a blue uniform.,A football player throws a touchdown pass.
2312,entailment,A soccer player wearing white shorts and an orange and green shirt holds the ball while being guarded by another soccer player in a blue uniform.,A soccer player holds the soccer ball.
2313,neutral,A soccer player wearing white shorts and an orange and green shirt holds the ball while being guarded by another soccer player in a blue uniform.,A professional soccer player holds the soccer ball.
2314,neutral,A man in black reading a book for a group of people.,The man is reading for children.
2315,contradiction,A man in black reading a book for a group of people.,The man is talking to himself in the mirror.
2316,entailment,A man in black reading a book for a group of people.,The man is reading.
2317,neutral,"Male volleyball players in red attempt to score on the other team, lighter red.",Volleyball players in red are beating the other team.
2318,entailment,"Male volleyball players in red attempt to score on the other team, lighter red.",Guys are playing volleyball.
2319,contradiction,"Male volleyball players in red attempt to score on the other team, lighter red.",Women are rollerblading.
2320,entailment,"There is a woman throwing daggers at a target, which is a carrot.",A person is throwing things.
2321,neutral,"There is a woman throwing daggers at a target, which is a carrot.",A woman with athletic ability is targeting carrots with blades.
2322,contradiction,"There is a woman throwing daggers at a target, which is a carrot.",A woman is skiing.
2323,entailment,A woman in a green shirt and jeans throws a spear toward a target in the background painted with a carrot across a parking lot,A woman throwing a spear towards a target.
2324,neutral,A woman in a green shirt and jeans throws a spear toward a target in the background painted with a carrot across a parking lot,A woman participating in a spear throwing contest.
2325,contradiction,A woman in a green shirt and jeans throws a spear toward a target in the background painted with a carrot across a parking lot,A woman shooting a bow at a painted pumpkin target.
2326,neutral,Man wearing dark clothes walks down a street with a wall of graffiti to his left.,A man is looking at the graffiti.
2327,entailment,Man wearing dark clothes walks down a street with a wall of graffiti to his left.,A man walks past some graffiti.
2328,contradiction,Man wearing dark clothes walks down a street with a wall of graffiti to his left.,The man is painting the street.
2329,neutral,a group of people riding bikes in a marathon as people line the street.,The people lining the street are family members.
2330,contradiction,a group of people riding bikes in a marathon as people line the street.,The people riding bikes are running from the police.
2331,entailment,a group of people riding bikes in a marathon as people line the street.,There are people riding bikes in a marathon.
2332,contradiction,Three women wearing belly dancing costumes are pictured in color while the background of the shot is in black and white.,three women in snowsuits eat a racoon
2333,entailment,Three women wearing belly dancing costumes are pictured in color while the background of the shot is in black and white.,three women dance in belly dancing costumes
2334,entailment,Three women wearing belly dancing costumes are pictured in color while the background of the shot is in black and white.,three women wear belly dancing costumes
2335,contradiction,"A woman walking, smiling and holding a shopping bag.",Women hate shopping.
2336,neutral,"A woman walking, smiling and holding a shopping bag.",The women came back from a shopping mall.
2337,neutral,"A woman walking, smiling and holding a shopping bag.","Some women go shopping, while men stay at home."
2338,neutral,A person on a boat by the shore.,A guy is on a boat by the shore fishing.
2339,neutral,A person on a boat by the shore.,He is sleeping on the boat.
2340,neutral,A person on a boat by the shore.,A guy is on a boat by the shore.
2341,neutral,A person in a yellow slicker is driving a motorboat next to the beach.,A fisherman heading home for the night.
2342,contradiction,A person in a yellow slicker is driving a motorboat next to the beach.,A whale eating a fisherman.
2343,entailment,A person in a yellow slicker is driving a motorboat next to the beach.,A person in a boat.
2344,contradiction,Two boys in green and white uniforms play basketball with two boys in blue and white uniforms.,Eight girls in dresses are playing basketball.
2345,entailment,Two boys in green and white uniforms play basketball with two boys in blue and white uniforms.,Boys are playing basketball.
2346,entailment,Two boys in green and white uniforms play basketball with two boys in blue and white uniforms.,Two different teams are playing basketball.
2347,entailment,A referee is talking with a couple of soccer players in red jerseys.,There is a soccer game today.
2348,contradiction,A referee is talking with a couple of soccer players in red jerseys.,The soccer players are casually kicking the ball down the street.
2349,neutral,A referee is talking with a couple of soccer players in red jerseys.,The soccer players are being told what they did wrong.
2350,neutral,A white and blue car is on the street.,A sedan is parked near a school.
2351,entailment,A white and blue car is on the street.,A vehicle is on the street.
2352,contradiction,A white and blue car is on the street.,A car is driving off a cliff.
2353,entailment,A young boy is hanging onto a clothing rack.,A boy hangs from a rack.
2354,neutral,A young boy is hanging onto a clothing rack.,A boy is hanging onto a purple clothing rack.
2355,contradiction,A young boy is hanging onto a clothing rack.,"A girl stands near a clothing rack,"
2356,contradiction,A boy toddler play outside on a clothes rack full of tied dye shirts.,A toddler is playing inside the house.
2357,entailment,A boy toddler play outside on a clothes rack full of tied dye shirts.,A toddler is playing outside.
2358,neutral,A boy toddler play outside on a clothes rack full of tied dye shirts.,A toddler is enjoying the sunny weather.
2359,entailment,"Two men are playing basketball, and one man is making a shot.",Two men are playing basketball.
2360,neutral,"Two men are playing basketball, and one man is making a shot.",The men are on different teams.
2361,contradiction,"Two men are playing basketball, and one man is making a shot.",The men are playing soccer.
2362,neutral,A man trying to block another man from shooting the ball in.,The man is the goalie.
2363,contradiction,A man trying to block another man from shooting the ball in.,The man is playing the guitar at the concert.
2364,entailment,A man trying to block another man from shooting the ball in.,The man is is near the ball.
2365,entailment,A man in a black coat eats a doughnut while other men look out of frame.,A man in a black coat eats a doughnut.
2366,neutral,A man in a black coat eats a doughnut while other men look out of frame.,A man in a black coat is covered in powdered sugar.
2367,contradiction,A man in a black coat eats a doughnut while other men look out of frame.,A naked man eats a doughnut.
2368,entailment,"A woman in black, seen from behind, sits next to a body of water.",A woman sits outside.
2369,neutral,"A woman in black, seen from behind, sits next to a body of water.",A woman sits and relaxes.
2370,contradiction,"A woman in black, seen from behind, sits next to a body of water.",A woman leaps from a balcony to the ground below.
2371,contradiction,An orange car is driving across a steel bridge in a city.,A car is driving on the highway towards the country-side.
2372,neutral,An orange car is driving across a steel bridge in a city.,A car is driving across the bridge on it's way to work.
2373,entailment,An orange car is driving across a steel bridge in a city.,A car is driving across a bridge.
2374,contradiction,A young man wearing black jumps off a height while people clap.,The man is wearing yellow.
2375,entailment,A young man wearing black jumps off a height while people clap.,The man is jumping off something.
2376,neutral,A young man wearing black jumps off a height while people clap.,The man is jumping off a cliff.
2377,neutral,A Korean gentlemen kicks up his leg.,A person is dancing.
2378,contradiction,A Korean gentlemen kicks up his leg.,A person stands on two feet.
2379,entailment,A Korean gentlemen kicks up his leg.,A person is kicking.
2380,contradiction,A man wearing yellow sneakers and a black vest is on a water board and hangs onto a waterski line that appears to be towed by a boat.,A dog is swimming towards a stick.
2381,neutral,A man wearing yellow sneakers and a black vest is on a water board and hangs onto a waterski line that appears to be towed by a boat.,A man on a lake is learning how to waterboard slowly.
2382,entailment,A man wearing yellow sneakers and a black vest is on a water board and hangs onto a waterski line that appears to be towed by a boat.,A man is moving on the water.
2383,neutral,"Two woman talk in the middle of a parking lot, near two cars, as random people wander nearby.",Sisters talk to each other in the middle of the lot
2384,entailment,"Two woman talk in the middle of a parking lot, near two cars, as random people wander nearby.",Two women near cars talk in the middle of the lot
2385,contradiction,"Two woman talk in the middle of a parking lot, near two cars, as random people wander nearby.",Two men talk in the middle of the lot
2386,neutral,Graffiti on the side of an Asian warehouse.,A graffiti artist made an urban tag sign for a local warehouse.
2387,neutral,Graffiti on the side of an Asian warehouse.,Letters on a building.
2388,contradiction,Graffiti on the side of an Asian warehouse.,A neon sign on a new building.
2389,neutral,People are working with some white pipes.,Men are fixing the pipes.
2390,contradiction,People are working with some white pipes.,People are ruining the red pipes.
2391,entailment,People are working with some white pipes.,People working on white pipes.
2392,entailment,A man talks on his cellphone in private.,A man is on his cellphone.
2393,neutral,A man talks on his cellphone in private.,A man is talking to his wife on his cellphone.
2394,contradiction,A man talks on his cellphone in private.,A man throws his cellphone to the ground.
2395,entailment,A baby wearing a bib makes a funny face at the camera.,A baby in a bib is making funny faces at the camera.
2396,contradiction,A baby wearing a bib makes a funny face at the camera.,A baby spits up all over his bib.
2397,neutral,A baby wearing a bib makes a funny face at the camera.,A baby girl in a bib makes a funny face at her mom's camera.
2398,entailment,"A brunette baby wearing a red and gray striped shirt, jeans, and a bib with fruit characters on it is sitting on a decorative blanket.",Fruit characters decorate this child's bib
2399,contradiction,"A brunette baby wearing a red and gray striped shirt, jeans, and a bib with fruit characters on it is sitting on a decorative blanket.",The child is secretly a 50 year old man
2400,neutral,"A brunette baby wearing a red and gray striped shirt, jeans, and a bib with fruit characters on it is sitting on a decorative blanket.",The child is at a picnic
2401,neutral,Two power walkers walking beside one another in a race.,Two people in a park walking
2402,contradiction,Two power walkers walking beside one another in a race.,Two people driving cars
2403,entailment,Two power walkers walking beside one another in a race.,Two people in a race
